000000007b5207b6,00000000675d5200,000000006b44cce7,0000000038d83d41,00000000aa852af1,0000000038bf9618,00000000fb7600be,0000000053c6c2be,00000000afef4555,00000000fdda10fe,00000000342570c2,00000000d747f075,000000000f4919c9,000000006b087f40,0000000019fb59c4,0000000006dd41f6,00000000a53ed894,00000000f1124bca,00000000fffb8cf0,00000000e8a064a4
0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.23809523809523808,0.19047619047619047,0.14285714285714285,0.20634920634920634,0.06349206349206349,0.2857142857142857,0.031746031746031744,0.015873015873015872,0.047619047619047616,0.047619047619047616,0.12698412698412698,0.047619047619047616,0.031746031746031744,0.0,0.047619047619047616,0.031746031746031744,0.0
0.0,0.0,0.4603174603174603,0.0,0.07936507936507936,0.031746031746031744,0.4126984126984127,0.015873015873015872,0.06349206349206349,0.031746031746031744,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.047619047619047616,0.0,0.015873015873015872,0.031746031746031744,0.06349206349206349,0.0,0.0
0.0,0.0,0.2698412698412698,0.1111111111111111,0.0,0.031746031746031744,0.19047619047619047,0.015873015873015872,0.1111111111111111,0.015873015873015872,0.0,0.0,0.031746031746031744,0.3333333333333333,0.0,0.0,0.0,0.031746031746031744,0.0,0.0
0.015873015873015872,0.0,0.1746031746031746,0.09523809523809523,0.047619047619047616,0.0,0.031746031746031744,0.0,0.047619047619047616,0.031746031746031744,0.0,0.015873015873015872,0.0,0.015873015873015872,0.0,0.1746031746031746,0.14285714285714285,0.031746031746031744,0.0,0.14285714285714285
0.0,0.0,0.20634920634920634,0.12698412698412698,0.015873015873015872,0.031746031746031744,0.0,0.047619047619047616,0.09523809523809523,0.015873015873015872,0.0,0.0,0.015873015873015872,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.0,0.0,0.0,0.031746031746031744
0.0,0.0,0.031746031746031744,0.06349206349206349,0.0,0.015873015873015872,0.015873015873015872,0.0,0.015873015873015872,0.0,0.0,0.047619047619047616,0.0,0.015873015873015872,0.0,0.0,0.015873015873015872,0.031746031746031744,0.015873015873015872,0.0
0.0,0.0,0.06349206349206349,0.06349206349206349,0.06349206349206349,0.0,0.031746031746031744,0.0,0.0,0.047619047619047616,0.015873015873015872,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.015873015873015872,0.0,0.0
0.0,0.0,0.047619047619047616,0.015873015873015872,0.031746031746031744,0.031746031746031744,0.015873015873015872,0.015873015873015872,0.09523809523809523,0.0,0.0,0.0,0.031746031746031744,0.06349206349206349,0.0,0.015873015873015872,0.015873015873015872,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.0,0.14285714285714285,0.031746031746031744,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0
0.015873015873015872,0.015873015873015872,0.47619047619047616,0.06349206349206349,0.047619047619047616,0.0,0.031746031746031744,0.015873015873015872,0.09523809523809523,0.015873015873015872,0.0,0.0,0.047619047619047616,0.0,0.0,0.015873015873015872,0.0,0.047619047619047616,0.0,0.0
0.0,0.0,0.031746031746031744,0.0,0.0,0.0,0.031746031746031744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031746031746031744,0.015873015873015872,0.0,0.0,0.015873015873015872
0.0,0.0,0.031746031746031744,0.015873015873015872,0.0,0.031746031746031744,0.015873015873015872,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.07936507936507936,0.0,0.0,0.031746031746031744
0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.015873015873015872,0.031746031746031744,0.031746031746031744,0.015873015873015872,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.06349206349206349,0.0,0.015873015873015872,0.0,0.015873015873015872
0.0,0.0,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031746031746031744,0.015873015873015872,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.07936507936507936,0.047619047619047616,0.031746031746031744,0.0,0.047619047619047616,0.047619047619047616,0.015873015873015872,0.0,0.0,0.047619047619047616,0.015873015873015872,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.031746031746031744,0.031746031746031744,0.0,0.015873015873015872,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.015873015873015872,0.0,0.0,0.0
